root	mode	first_line
testdir:abi/convT64_criteria.go	interpreted	unknown field _ of main.MyStruct
testdir:abi/method_wrapper.go	interpreted	assignment mismatch: 5 variable(s) but 1 value(s)
testdir:char_lit1.go	interpreted	test/char_lit1.go:16:8: escape sequence is invalid Unicode code point
testdir:char_lit1.go	compiled	test/char_lit1.go:16:8: escape sequence is invalid Unicode code point
testdir:const3.go	interpreted	type info didn't propagate in const: got T2 4 16 256 65536
testdir:const3.go	compiled	type info didn't propagate in const: got T2 4 16 256 65536
testdir:defernil.go	interpreted	defernil.go:31:8: nilf: command not found
testdir:fixedbugs/bug014.go	interpreted	test/fixedbugs/bug014.go:10:21: illegal character U+0027 ''' in escape sequence
testdir:fixedbugs/bug014.go	compiled	test/fixedbugs/bug014.go:10:21: illegal character U+0027 ''' in escape sequence
testdir:fixedbugs/bug132.go	interpreted	test/fixedbugs/bug132.go:10:5: x redeclared
testdir:fixedbugs/bug132.go	compiled	test/fixedbugs/bug132.go:10:5: x redeclared
testdir:fixedbugs/bug136.go	interpreted	test/fixedbugs/bug136.go:13:9: invalid break label L
testdir:fixedbugs/bug136.go	compiled	test/fixedbugs/bug136.go:13:9: invalid break label L
testdir:fixedbugs/bug169.go	interpreted	test/fixedbugs/bug169.go:8:9: illegal rune literal
testdir:fixedbugs/bug169.go	compiled	test/fixedbugs/bug169.go:8:9: illegal rune literal
testdir:fixedbugs/bug179.go	interpreted	test/fixedbugs/bug179.go:13:10: invalid break label L2
testdir:fixedbugs/bug179.go	compiled	test/fixedbugs/bug179.go:13:10: invalid break label L2
testdir:fixedbugs/bug228.go	interpreted	test/fixedbugs/bug228.go:11:27: invalid use of ...
testdir:fixedbugs/bug228.go	compiled	test/fixedbugs/bug228.go:11:27: invalid use of ...
testdir:fixedbugs/bug295.go	interpreted	fixedbugs/bug295.go:11:1: undefined type: B
testdir:fixedbugs/bug300.go	interpreted	test/fixedbugs/bug300.go:23:7: cannot parenthesize type in composite literal
testdir:fixedbugs/bug300.go	compiled	test/fixedbugs/bug300.go:23:7: cannot parenthesize type in composite literal
testdir:fixedbugs/bug388.go	interpreted	test/fixedbugs/bug388.go:12:10: missing parameter name
testdir:fixedbugs/bug388.go	compiled	test/fixedbugs/bug388.go:12:10: missing parameter name
testdir:fixedbugs/bug412.go	interpreted	test/fixedbugs/bug412.go:11:2: x redeclared
testdir:fixedbugs/bug412.go	compiled	test/fixedbugs/bug412.go:11:2: x redeclared
testdir:fixedbugs/bug416.go	interpreted	test/fixedbugs/bug416.go:13:13: field and method with the same name X
testdir:fixedbugs/bug416.go	compiled	test/fixedbugs/bug416.go:13:13: field and method with the same name X
testdir:fixedbugs/issue11362.go	interpreted	test/fixedbugs/issue11362.go:11:10: could not import unicode//utf8 (package "unicode//utf8" not found in go list output)
testdir:fixedbugs/issue11362.go	compiled	test/fixedbugs/issue11362.go:11:10: could not import unicode//utf8 (package "unicode//utf8" not found in go list output)
testdir:fixedbugs/issue14006.go	interpreted	test/fixedbugs/issue14006.go:24:4: illegal label declaration
testdir:fixedbugs/issue14006.go	compiled	test/fixedbugs/issue14006.go:24:4: illegal label declaration
testdir:fixedbugs/issue15002.go	interpreted	fixedbugs/issue15002.go:56:31: index out of range [1] with length 1
testdir:fixedbugs/issue15091.go	compiled	link: reference to undefined builtin "runtime.racefuncenter" from package "main"
testdir:fixedbugs/issue15611.go	interpreted	test/fixedbugs/issue15611.go:11: rune literal not terminated
testdir:fixedbugs/issue15611.go	compiled	test/fixedbugs/issue15611.go:11: rune literal not terminated
